order_id,customer_id,product_id,order_date,quantity,discount_pct,gross_revenue_gbp,net_revenue_gbp,status
ORD-000098,CUST-01570,PROD-0055,2026-04-21,1,0.005,58.05,57.76,Completed
ORD-000099,CUST-01662,PROD-0022,2024-10-29,1,0.123,32.49,28.49,Completed
ORD-000100,CUST-01732,PROD-0044,2026-02-24,6,0.03,2871.6,2785.45,Completed
ORD-000101,CUST-01756,PROD-0048,2026-01-29,5,0.148,444.4,378.63,Completed
ORD-000102,CUST-01673,PROD-0074,2025-06-26,3,0.028,889.32,864.42,Completed
ORD-000103,CUST-00738,PROD-0069,2026-05-05,3,0.02,161.55,158.32,Completed
ORD-000104,CUST-01906,PROD-0032,2025-12-18,3,0.037,913.44,879.64,Completed
ORD-000105,CUST-01158,PROD-0066,2026-01-02,3,0.027,1100.22,1070.51,Completed
ORD-000106,CUST-01654,PROD-0045,2026-07-10,1,0.025,291.04,283.76,Completed
ORD-000107,CUST-00819,PROD-0010,2024-12-11,1,0.052,229.74,217.79,Completed
ORD-000108,CUST-01001,PROD-0016,2025-01-30,3,0.068,863.19,804.49,Cancelled
ORD-000109,CUST-01819,PROD-0079,2026-04-16,2,0.003,949.66,946.81,Completed
ORD-000110,CUST-00909,PROD-0036,2026-02-08,1,0.074,252.55,233.86,Completed
ORD-000111,CUST-00737,PROD-0045,2025-07-10,3,0.088,873.12,796.29,Completed
ORD-000112,CUST-01181,PROD-0050,2026-07-19,2,0.098,420.04,378.88,Completed
ORD-000113,CUST-00239,PROD-0065,2026-07-13,1,0.08,178.75,164.45,Completed
ORD-000114,CUST-00891,PROD-0067,2025-12-09,3,0.006,1434.99,1426.38,Completed
ORD-000115,CUST-00745,PROD-0072,2025-06-19,1,0.041,61.63,59.1,Completed
ORD-000116,CUST-01518,PROD-0060,2024-08-24,2,0.044,173.2,165.58,Refunded
ORD-000117,CUST-01835,PROD-0043,2024-03-02,2,0.026,191.1,186.13,Completed
ORD-000118,CUST-02157,PROD-0019,2025-09-20,2,0.106,620.2,554.46,Completed
ORD-000119,CUST-01151,PROD-0072,2025-07-12,10,0.046,616.3,587.95,Completed
ORD-000120,CUST-00479,PROD-0034,2026-04-15,2,0.005,988.84,983.9,Completed
ORD-000121,CUST-01549,PROD-0037,2026-07-07,6,0.002,799.98,798.38,Cancelled
ORD-000122,CUST-01928,PROD-0024,2026-02-28,1,0.012,170.74,168.69,Completed
ORD-000123,CUST-00586,PROD-0022,2025-09-17,1,0.029,32.49,31.55,Completed
ORD-000124,CUST-01564,PROD-0011,2026-06-20,5,0.05,742.8,705.66,Completed
ORD-000125,CUST-00754,PROD-0028,2025-09-19,2,0.055,217.18,205.24,Completed
ORD-000126,CUST-02025,PROD-0078,2026-07-22,1,0.096,246.81,223.12,Completed
ORD-000127,CUST-00907,PROD-0037,2026-07-14,1,0.064,133.33,124.8,Refunded
ORD-000128,CUST-00482,PROD-0004,2026-02-22,2,0.019,514.8,505.02,Completed
ORD-000129,CUST-01729,PROD-0035,2026-06-29,1,0.04,436.73,419.26,Completed
ORD-000130,CUST-00674,PROD-0050,2026-05-16,1,0.036,210.02,202.46,Completed
ORD-000131,CUST-00396,PROD-0019,2026-07-17,1,0.016,310.1,305.14,Cancelled
ORD-000132,CUST-00511,PROD-0034,2025-05-23,3,0.035,1483.26,1431.35,Completed
ORD-000133,CUST-00131,PROD-0021,2024-09-12,2,0.007,903.64,897.31,Completed
ORD-000134,CUST-01286,PROD-0064,2026-02-24,1,0.076,439.52,406.12,Completed
ORD-000135,CUST-00887,PROD-0069,2026-07-01,4,0.029,215.4,209.15,Completed
ORD-000136,CUST-00473,PROD-0038,2026-03-22,4,0.007,979.68,972.82,Completed
ORD-000137,CUST-00985,PROD-0049,2025-12-03,1,0.053,288.08,272.81,Completed
ORD-000138,CUST-02099,PROD-0014,2026-04-10,3,0.042,738.39,707.38,Completed
ORD-000139,CUST-01024,PROD-0077,2026-01-23,2,0.038,259.76,249.89,Completed
ORD-000140,CUST-00979,PROD-0032,2026-03-11,6,0.016,1826.88,1797.65,Cancelled
ORD-000141,CUST-00815,PROD-0029,2026-02-10,2,0.099,924.98,833.41,Completed
ORD-000142,CUST-02019,PROD-0033,2026-07-25,2,0.036,216.16,208.38,Completed
ORD-000143,CUST-01814,PROD-0069,2026-03-08,1,0.001,53.85,53.8,Completed
ORD-000144,CUST-00154,PROD-0017,2026-03-24,1,0.036,318.37,306.91,Refunded
ORD-000145,CUST-01417,PROD-0008,2026-06-29,1,0.04,354.43,340.25,Completed
ORD-000146,CUST-01396,PROD-0006,2026-05-12,6,0.072,1866.06,1731.7,Cancelled
ORD-000147,CUST-00890,PROD-0076,2026-05-16,1,0.072,359.31,333.44,Completed
ORD-000148,CUST-01441,PROD-0077,2026-06-23,2,0.075,259.76,240.28,Completed
ORD-000149,CUST-01946,PROD-0043,2026-04-13,1,0.063,95.55,89.53,Cancelled
ORD-000150,CUST-02128,PROD-0040,2026-06-28,1,0.062,177.22,166.23,Completed
ORD-000151,CUST-00379,PROD-0045,2024-11-22,3,0.042,873.12,836.45,Completed
ORD-000152,CUST-00164,PROD-0058,2026-01-02,2,0.038,965.38,928.7,Completed
ORD-000153,CUST-00443,PROD-0073,2026-05-24,3,0.027,416.61,405.36,Completed
ORD-000154,CUST-00141,PROD-0033,2026-04-22,3,0.009,324.24,321.32,Completed
ORD-000155,CUST-00429,PROD-0043,2026-04-28,2,0.061,191.1,179.44,Cancelled
ORD-000156,CUST-01259,PROD-0050,2025-02-20,3,0.014,630.06,621.24,Completed
ORD-000157,CUST-00803,PROD-0033,2024-11-04,1,0.037,108.08,104.08,Completed
ORD-000158,CUST-01222,PROD-0067,2026-02-26,2,0.047,956.66,911.7,Completed
ORD-000159,CUST-02062,PROD-0030,2025-11-26,4,0.015,1112.48,1095.79,Completed
ORD-000160,CUST-01251,PROD-0023,2026-04-25,1,0.023,406.13,396.79,Completed
ORD-000161,CUST-01600,PROD-0052,2025-08-13,2,0.003,305.46,304.54,Completed
ORD-000162,CUST-00429,PROD-0037,2025-12-03,1,0.087,133.33,121.73,Completed
ORD-000163,CUST-00825,PROD-0007,2026-06-15,1,0.1,346.79,312.11,Completed
ORD-000164,CUST-00211,PROD-0054,2025-06-19,1,0.056,371.57,350.76,Completed
ORD-000165,CUST-00269,PROD-0029,2026-06-21,3,0.061,1387.47,1302.83,Completed
ORD-000166,CUST-01472,PROD-0060,2025-12-20,2,0.098,173.2,156.23,Cancelled
ORD-000167,CUST-01656,PROD-0059,2026-07-04,1,0.022,362.91,354.93,Completed
ORD-000168,CUST-01888,PROD-0007,2026-04-24,4,0.081,1387.16,1274.8,Completed
ORD-000169,CUST-00121,PROD-0013,2025-11-20,4,0.032,173.0,167.46,Completed
ORD-000170,CUST-00026,PROD-0059,2026-07-08,1,0.036,362.91,349.85,Completed
ORD-000171,CUST-01594,PROD-0046,2026-07-09,4,0.025,1911.96,1864.16,Refunded
ORD-000172,CUST-01188,PROD-0008,2026-01-19,1,0.057,354.43,334.23,Completed
ORD-000173,CUST-00252,PROD-0079,2026-01-23,1,0.044,474.83,453.94,Completed
ORD-000174,CUST-01441,PROD-0069,2026-07-07,1,0.048,53.85,51.27,Cancelled
ORD-000175,CUST-01994,PROD-0036,2026-02-13,1,0.03,252.55,244.97,Completed
ORD-000176,CUST-01576,PROD-0078,2026-07-18,5,0.038,1234.05,1187.16,Completed
ORD-000177,CUST-00459,PROD-0002,2025-12-20,2,0.007,963.56,956.82,Completed
ORD-000178,CUST-01278,PROD-0075,2026-01-10,1,0.04,224.25,215.28,Completed
ORD-000179,CUST-00288,PROD-0048,2026-03-07,1,0.076,88.88,82.13,Completed
ORD-000180,CUST-01045,PROD-0005,2024-12-16,1,0.132,283.12,245.75,Completed
ORD-000181,CUST-01913,PROD-0066,2026-01-21,1,0.079,366.74,337.77,Completed
ORD-000182,CUST-00507,PROD-0024,2025-02-05,1,0.071,170.74,158.62,Completed
ORD-000183,CUST-02165,PROD-0076,2024-11-28,3,0.075,1077.93,997.09,Completed
ORD-000184,CUST-01296,PROD-0075,2026-07-01,1,0.015,224.25,220.89,Completed
ORD-000185,CUST-00835,PROD-0008,2026-06-15,1,0.038,354.43,340.96,Completed
ORD-000186,CUST-01033,PROD-0064,2026-06-10,1,0.001,439.52,439.08,Completed
ORD-000187,CUST-00939,PROD-0006,2026-06-05,2,0.115,622.02,550.49,Completed
ORD-000188,CUST-00998,PROD-0011,2025-03-02,4,0.012,594.24,587.11,Completed
ORD-000189,CUST-01787,PROD-0066,2025-08-06,2,0.008,733.48,727.61,Completed
ORD-000190,CUST-02108,PROD-0064,2024-04-14,3,0.058,1318.56,1242.08,Completed
ORD-000191,CUST-01236,PROD-0053,2026-06-12,1,0.013,477.84,471.63,Completed
ORD-000192,CUST-00767,PROD-0042,2026-03-21,1,0.04,284.8,273.41,Completed
ORD-000193,CUST-01622,PROD-0023,2026-07-16,1,0.028,406.13,394.76,Completed
ORD-000194,CUST-01524,PROD-0073,2025-02-11,3,0.059,416.61,392.03,Completed
ORD-000195,CUST-01664,PROD-0049,2026-03-11,3,0.044,864.24,826.21,Completed
ORD-000196,CUST-00927,PROD-0049,2026-03-10,2,0.037,576.16,554.84,Completed
ORD-000197,CUST-01199,PROD-0074,2026-06-24,3,0.04,889.32,853.75,Completed
ORD-000198,CUST-01245,PROD-0017,2026-03-17,1,0.071,318.37,295.77,Completed
ORD-000199,CUST-00124,PROD-0073,2025-07-15,1,0.048,138.87,132.2,Completed
ORD-000200,CUST-00564,PROD-0031,2026-03-06,6,0.009,983.46,974.61,Completed
ORD-000201,CUST-00359,PROD-0071,2025-09-26,3,0.041,1257.18,1205.64,Completed
ORD-000202,CUST-02163,PROD-0028,2025-10-03,3,0.123,325.77,285.7,Completed
ORD-000203,CUST-00065,PROD-0067,2026-07-20,1,0.067,478.33,446.28,Completed
ORD-000204,CUST-01872,PROD-0078,2026-06-14,1,0.087,246.81,225.34,Completed
ORD-000205,CUST-01176,PROD-0038,2025-11-25,2,0.03,489.84,475.14,Completed
ORD-000206,CUST-00645,PROD-0056,2025-11-01,2,0.061,463.44,435.17,Completed
ORD-000207,CUST-01756,PROD-0051,2025-03-19,1,0.043,448.03,428.76,Completed
ORD-000208,CUST-01165,PROD-0008,2024-03-05,1,0.002,354.43,353.72,Completed
ORD-000209,CUST-00129,PROD-0077,2026-03-05,4,0.1,519.52,467.57,Completed
ORD-000210,CUST-01024,PROD-0042,2026-04-02,1,0.014,284.8,280.81,Completed
ORD-000211,CUST-01521,PROD-0062,2026-06-02,1,0.01,474.89,470.14,Cancelled
ORD-000212,CUST-00035,PROD-0054,2026-05-12,1,0.041,371.57,356.34,Completed
ORD-000213,CUST-01626,PROD-0022,2025-09-04,2,0.056,64.98,61.34,Completed
ORD-000214,CUST-00785,PROD-0040,2025-11-16,2,0.001,354.44,354.09,Completed
ORD-000215,CUST-00871,PROD-0047,2026-03-21,3,0.021,1195.56,1170.45,Completed
ORD-000216,CUST-00482,PROD-0020,2026-04-03,1,0.02,146.24,143.32,Completed
ORD-000217,CUST-02139,PROD-0020,2026-01-16,1,0.078,146.24,134.83,Completed
ORD-000218,CUST-00216,PROD-0057,2026-05-20,3,0.095,1459.8,1321.12,Completed
ORD-000219,CUST-01032,PROD-0065,2026-04-06,1,0.029,178.75,173.57,Completed
ORD-000220,CUST-00976,PROD-0078,2024-10-05,4,0.004,987.24,983.29,Refunded
ORD-000221,CUST-01764,PROD-0009,2026-04-12,1,0.005,460.82,458.52,Completed
ORD-000222,CUST-01678,PROD-0080,2026-05-19,7,0.035,1524.18,1470.83,Completed
ORD-000223,CUST-01230,PROD-0018,2025-12-10,6,0.005,2463.84,2451.52,Completed
ORD-000224,CUST-01807,PROD-0058,2026-04-15,1,0.052,482.69,457.59,Completed
ORD-000225,CUST-01151,PROD-0053,2025-12-08,1,0.084,477.84,437.7,Completed
ORD-000226,CUST-02057,PROD-0051,2024-05-10,1,0.055,448.03,423.39,Completed
ORD-000227,CUST-00118,PROD-0061,2025-10-23,3,0.154,1377.3,1165.2,Completed
ORD-000228,CUST-01730,PROD-0076,2025-04-08,1,0.026,359.31,349.97,Completed
ORD-000229,CUST-01952,PROD-0014,2026-05-06,1,0.043,246.13,235.55,Completed
ORD-000230,CUST-00130,PROD-0077,2026-05-18,3,0.077,389.64,359.64,Completed
ORD-000231,CUST-00396,PROD-0014,2026-05-30,1,0.012,246.13,243.18,Completed
ORD-000232,CUST-01669,PROD-0078,2026-05-14,1,0.079,246.81,227.31,Completed
ORD-000233,CUST-01324,PROD-0056,2026-05-01,1,0.09,231.72,210.87,Completed
ORD-000234,CUST-01005,PROD-0019,2025-07-24,1,0.015,310.1,305.45,Completed
ORD-000235,CUST-00399,PROD-0001,2025-03-09,1,0.025,325.81,317.66,Cancelled
ORD-000236,CUST-00095,PROD-0064,2025-07-04,2,0.058,879.04,828.06,Completed
ORD-000237,CUST-00924,PROD-0051,2026-01-03,1,0.036,448.03,431.9,Completed
ORD-000238,CUST-01842,PROD-0040,2026-06-23,2,0.01,354.44,350.9,Refunded
ORD-000239,CUST-01438,PROD-0053,2026-05-02,3,0.021,1433.52,1403.42,Completed
ORD-000240,CUST-00236,PROD-0054,2026-02-28,1,0.037,371.57,357.82,Completed
ORD-000241,CUST-02087,PROD-0034,2025-06-16,1,0.049,494.42,470.19,Completed
ORD-000242,CUST-00407,PROD-0050,2024-11-01,1,0.041,210.02,201.41,Completed
ORD-000243,CUST-00921,PROD-0029,2026-06-17,2,0.038,924.98,889.83,Completed
ORD-000244,CUST-00301,PROD-0060,2025-10-25,2,0.021,173.2,169.56,Completed
ORD-000245,CUST-02144,PROD-0018,2026-07-12,5,0.005,2053.2,2042.93,Refunded
ORD-000246,CUST-01822,PROD-0054,2025-12-19,1,0.053,371.57,351.88,Cancelled
ORD-000247,CUST-00456,PROD-0047,2026-04-09,3,0.023,1195.56,1168.06,Completed
ORD-000248,CUST-01296,PROD-0064,2026-01-18,2,0.02,879.04,861.46,Completed
ORD-000249,CUST-01176,PROD-0046,2025-09-24,1,0.01,477.99,473.21,Completed
ORD-000250,CUST-02188,PROD-0030,2025-02-26,1,0.021,278.12,272.28,Completed
ORD-000251,CUST-00130,PROD-0068,2026-01-02,3,0.003,1432.23,1427.93,Completed
ORD-000252,CUST-00224,PROD-0059,2025-09-11,2,0.045,725.82,693.16,Completed
ORD-000253,CUST-00292,PROD-0022,2025-11-26,3,0.026,97.47,94.94,Completed
ORD-000254,CUST-00713,PROD-0005,2025-03-25,2,0.114,566.24,501.69,Completed
ORD-000255,CUST-01706,PROD-0039,2026-05-25,1,0.067,253.83,236.82,Completed
ORD-000256,CUST-02113,PROD-0016,2026-07-30,3,0.096,863.19,780.32,Cancelled
ORD-000257,CUST-00662,PROD-0028,2025-09-02,3,0.023,325.77,318.28,Cancelled
ORD-000258,CUST-00957,PROD-0005,2025-02-21,2,0.098,566.24,510.75,Completed
ORD-000259,CUST-01701,PROD-0068,2025-06-04,2,0.02,954.82,935.72,Completed
ORD-000260,CUST-01099,PROD-0012,2026-05-22,1,0.02,494.72,484.83,Completed
ORD-000261,CUST-01052,PROD-0025,2026-07-13,1,0.107,118.41,105.74,Completed
ORD-000262,CUST-01436,PROD-0070,2026-06-08,1,0.12,333.37,293.37,Cancelled
ORD-000263,CUST-00363,PROD-0043,2026-01-30,5,0.076,477.75,441.44,Completed
ORD-000264,CUST-01156,PROD-0023,2025-12-29,1,0.012,406.13,401.26,Completed
ORD-000265,CUST-01454,PROD-0047,2026-03-09,2,0.034,797.04,769.94,Completed
ORD-000266,CUST-00855,PROD-0018,2026-05-21,5,0.029,2053.2,1993.66,Completed
ORD-000267,CUST-02105,PROD-0009,2025-07-05,3,0.13,1382.46,1202.74,Completed
ORD-000268,CUST-00444,PROD-0077,2026-06-18,2,0.043,259.76,248.59,Completed
ORD-000269,CUST-01094,PROD-0034,2026-06-30,3,0.055,1483.26,1401.68,Completed
ORD-000270,CUST-02043,PROD-0010,2024-12-24,1,0.02,229.74,225.15,Completed
ORD-000271,CUST-00303,PROD-0007,2026-06-05,7,0.024,2427.53,2369.27,Completed
ORD-000272,CUST-01958,PROD-0030,2026-04-10,2,0.019,556.24,545.67,Refunded
ORD-000273,CUST-02128,PROD-0026,2025-10-25,10,0.007,1971.1,1957.3,Refunded
ORD-000274,CUST-01577,PROD-0078,2025-04-25,1,0.056,246.81,232.99,Refunded
ORD-000275,CUST-01985,PROD-0014,2026-07-25,2,0.111,492.26,437.62,Completed
ORD-000276,CUST-01744,PROD-0019,2024-02-10,1,0.053,310.1,293.66,Completed
ORD-000277,CUST-02042,PROD-0009,2025-07-04,3,0.102,1382.46,1241.45,Completed
ORD-000278,CUST-02006,PROD-0007,2026-01-06,2,0.019,693.58,680.4,Completed
ORD-000279,CUST-00804,PROD-0004,2024-09-10,3,0.01,772.2,764.48,Completed
ORD-000280,CUST-01274,PROD-0063,2026-05-29,1,0.071,469.36,436.04,Completed
ORD-000281,CUST-00789,PROD-0049,2026-06-13,1,0.026,288.08,280.59,Completed
ORD-000282,CUST-00322,PROD-0007,2026-07-12,2,0.061,693.58,651.27,Completed
ORD-000283,CUST-01328,PROD-0004,2026-02-03,2,0.092,514.8,467.44,Completed
ORD-000284,CUST-00729,PROD-0065,2026-03-14,1,0.048,178.75,170.17,Completed
ORD-000285,CUST-01251,PROD-0001,2026-01-22,1,0.005,325.81,324.18,Completed
ORD-000286,CUST-00384,PROD-0022,2026-07-13,1,0.06,32.49,30.54,Completed
ORD-000287,CUST-00137,PROD-0018,2026-01-05,1,0.014,410.64,404.89,Completed
ORD-000288,CUST-01076,PROD-0065,2026-04-07,1,0.031,178.75,173.21,Completed
ORD-000289,CUST-01470,PROD-0008,2026-05-31,3,0.008,1063.29,1054.78,Completed
ORD-000290,CUST-00918,PROD-0049,2026-07-27,1,0.058,288.08,271.37,Cancelled
ORD-000291,CUST-01159,PROD-0021,2026-04-15,2,0.035,903.64,872.01,Refunded
ORD-000292,CUST-00367,PROD-0065,2025-11-10,2,0.032,357.5,346.06,Completed
ORD-000293,CUST-01061,PROD-0002,2026-04-01,2,0.043,963.56,922.13,Cancelled
ORD-000294,CUST-01058,PROD-0043,2025-11-11,3,0.1,286.65,257.98,Completed
ORD-000295,CUST-00953,PROD-0068,2024-11-04,1,0.032,477.41,462.13,Completed
ORD-000296,CUST-01088,PROD-0028,2025-07-06,3,0.035,325.77,314.37,Cancelled
ORD-000297,CUST-00856,PROD-0059,2026-03-05,1,0.018,362.91,356.38,Completed
ORD-000298,CUST-00800,PROD-0032,2026-04-09,6,0.002,1826.88,1823.23,Cancelled
