customer_id,signup_date,region,segment,acquisition_channel
CUST-00136,2025-04-18,UK,Consumer,Direct
CUST-00137,2025-04-15,UAE,SMB,Paid Search
CUST-00138,2024-06-20,UAE,Consumer,Partner
CUST-00139,2024-03-30,UK,Mid-Market,Organic
CUST-00140,2024-04-07,US,Consumer,Direct
CUST-00141,2026-04-16,UK,Consumer,Partner
CUST-00142,2025-07-29,UK,SMB,Paid Search
CUST-00143,2024-09-23,Germany,Enterprise,Partner
CUST-00144,2024-07-28,Germany,Consumer,Direct
CUST-00145,2025-04-14,India,Consumer,Paid Search
CUST-00146,2024-01-21,UAE,Consumer,Partner
CUST-00147,2025-01-13,UK,Mid-Market,Paid Search
CUST-00148,2024-11-15,India,Mid-Market,Referral
CUST-00149,2024-03-11,UAE,Consumer,Organic
CUST-00150,2024-11-12,UK,Mid-Market,Direct
CUST-00151,2025-03-22,US,Consumer,Direct
CUST-00152,2024-04-27,US,Consumer,Paid Search
CUST-00153,2025-07-17,India,Mid-Market,Organic
CUST-00154,2026-01-01,UAE,SMB,Partner
CUST-00155,2024-07-21,Germany,SMB,Referral
CUST-00156,2025-01-28,UK,SMB,Referral
CUST-00157,2025-02-20,UK,SMB,Referral
CUST-00158,2026-01-13,US,Consumer,Partner
CUST-00159,2026-06-23,India,Consumer,Referral
CUST-00160,2024-02-18,India,Consumer,Paid Search
CUST-00161,2025-07-25,India,Consumer,Organic
CUST-00162,2025-11-10,UAE,Enterprise,Organic
CUST-00163,2026-04-17,US,Mid-Market,Partner
CUST-00164,2025-09-27,Germany,Consumer,Referral
CUST-00165,2026-05-30,UK,Consumer,Partner
CUST-00166,2025-08-28,UK,Enterprise,Referral
CUST-00167,2025-03-10,US,Enterprise,Referral
CUST-00168,2025-03-30,UK,SMB,Organic
CUST-00169,2025-11-30,US,Consumer,Direct
CUST-00170,2026-05-24,Germany,SMB,Partner
CUST-00171,2024-09-21,UK,Consumer,Referral
CUST-00172,2025-10-27,UK,Consumer,Partner
CUST-00173,2025-04-21,UK,Enterprise,Referral
CUST-00174,2026-01-06,UAE,Consumer,Paid Search
CUST-00175,2025-12-05,India,Consumer,Organic
CUST-00176,2024-02-17,UK,Enterprise,Partner
CUST-00177,2024-08-29,US,Consumer,Paid Search
CUST-00178,2025-02-11,UK,SMB,Paid Search
CUST-00179,2024-10-24,US,Consumer,Direct
CUST-00180,2024-07-28,US,Consumer,Organic
CUST-00181,2025-07-11,US,Mid-Market,Paid Search
CUST-00182,2025-04-07,UK,Mid-Market,Referral
CUST-00183,2024-04-26,Germany,Mid-Market,Direct
CUST-00184,2024-03-08,UAE,Consumer,Organic
CUST-00185,2025-02-01,UAE,Consumer,Referral
CUST-00186,2025-12-25,India,SMB,Referral
CUST-00187,2025-11-22,UK,Mid-Market,Direct
CUST-00188,2025-08-17,UK,Enterprise,Direct
CUST-00189,2026-04-05,India,Mid-Market,Referral
CUST-00190,2024-05-09,India,Consumer,Direct
CUST-00191,2025-09-22,India,Consumer,Partner
CUST-00192,2026-03-04,India,Consumer,Paid Search
CUST-00193,2025-03-20,UK,Consumer,Partner
CUST-00194,2026-04-25,UAE,SMB,Paid Search
CUST-00195,2024-12-18,UK,Mid-Market,Paid Search
CUST-00196,2024-09-24,UK,Consumer,Organic
CUST-00197,2026-01-14,Germany,SMB,Paid Search
CUST-00198,2025-08-03,UK,Enterprise,Referral
CUST-00199,2024-08-16,UK,Consumer,Paid Search
CUST-00200,2025-07-02,UK,SMB,Referral
CUST-00201,2026-01-25,Germany,Consumer,Partner
CUST-00202,2024-08-26,UK,Mid-Market,Direct
CUST-00203,2026-03-09,India,SMB,Paid Search
CUST-00204,2024-08-11,UAE,Mid-Market,Referral
CUST-00205,2024-08-29,US,SMB,Direct
CUST-00206,2025-09-24,India,SMB,Partner
CUST-00207,2024-08-11,UK,Consumer,Direct
CUST-00208,2024-01-14,India,SMB,Organic
CUST-00209,2024-03-11,India,Consumer,Partner
CUST-00210,2025-10-21,India,SMB,Partner
CUST-00211,2024-06-15,UK,Mid-Market,Paid Search
CUST-00212,2025-09-12,Germany,Consumer,Partner
CUST-00213,2024-07-01,India,Mid-Market,Direct
CUST-00214,2025-06-05,India,SMB,Referral
CUST-00215,2024-04-14,US,Consumer,Paid Search
CUST-00216,2025-02-01,India,Enterprise,Partner
CUST-00217,2024-12-08,UK,Consumer,Organic
CUST-00218,2024-03-09,Germany,Mid-Market,Direct
CUST-00219,2024-12-06,UK,Consumer,Partner
CUST-00220,2025-04-16,Germany,Mid-Market,Partner
CUST-00221,2025-04-04,UK,Enterprise,Paid Search
CUST-00222,2025-10-20,US,SMB,Organic
CUST-00223,2026-01-19,India,SMB,Direct
CUST-00224,2024-07-04,Germany,Consumer,Referral
CUST-00225,2025-08-24,US,Enterprise,Partner
CUST-00226,2026-03-10,UK,Enterprise,Partner
CUST-00227,2025-03-26,US,Consumer,Partner
CUST-00228,2025-12-25,India,SMB,Partner
CUST-00229,2026-05-07,UAE,Consumer,Organic
CUST-00230,2025-10-29,UK,SMB,Referral
CUST-00231,2025-05-17,US,SMB,Paid Search
CUST-00232,2026-01-22,US,Consumer,Organic
CUST-00233,2026-01-04,Germany,Enterprise,Direct
CUST-00234,2024-10-28,Germany,Consumer,Referral
CUST-00235,2024-08-19,Germany,Mid-Market,Paid Search
CUST-00236,2024-06-25,India,Enterprise,Partner
CUST-00237,2024-11-03,US,Consumer,Paid Search
CUST-00238,2025-11-17,India,Enterprise,Paid Search
CUST-00239,2026-06-28,UK,Consumer,Referral
CUST-00240,2025-04-01,UK,Mid-Market,Partner
CUST-00241,2026-03-26,UK,Enterprise,Organic
CUST-00242,2026-01-13,UK,Mid-Market,Referral
CUST-00243,2024-12-01,India,SMB,Direct
CUST-00244,2025-05-27,US,Consumer,Paid Search
CUST-00245,2024-08-16,UK,SMB,Paid Search
CUST-00246,2026-05-21,UK,Consumer,Referral
CUST-00247,2026-02-22,India,SMB,Partner
CUST-00248,2025-01-11,India,Enterprise,Direct
CUST-00249,2024-10-22,India,SMB,Partner
CUST-00250,2025-01-30,UK,Mid-Market,Paid Search
CUST-00251,2024-05-22,India,Consumer,Paid Search
CUST-00252,2025-10-24,US,Enterprise,Partner
CUST-00253,2026-02-21,India,Consumer,Referral
CUST-00254,2024-04-30,India,SMB,Referral
CUST-00255,2024-03-26,India,Enterprise,Paid Search
CUST-00256,2025-06-05,India,SMB,Partner
CUST-00257,2026-01-09,Germany,SMB,Paid Search
CUST-00258,2025-04-12,UAE,Mid-Market,Partner
CUST-00259,2024-04-20,UAE,Consumer,Partner
CUST-00260,2024-04-14,US,Consumer,Paid Search
CUST-00261,2025-06-30,India,SMB,Organic
CUST-00262,2026-04-02,UK,Mid-Market,Partner
CUST-00263,2024-01-26,US,SMB,Organic
CUST-00264,2024-11-04,US,SMB,Referral
CUST-00265,2024-04-03,UAE,Consumer,Organic
CUST-00266,2025-10-23,UAE,Consumer,Direct
CUST-00267,2024-07-28,Germany,SMB,Referral
CUST-00268,2024-09-21,UAE,Enterprise,Paid Search
CUST-00269,2026-06-06,India,Consumer,Paid Search
CUST-00270,2025-08-14,UK,Mid-Market,Paid Search
CUST-00271,2024-06-25,US,Consumer,Partner
CUST-00272,2024-08-05,India,Consumer,Paid Search
CUST-00273,2025-06-15,UK,Consumer,Direct
CUST-00274,2024-10-19,UK,SMB,Partner
CUST-00275,2025-08-12,US,Mid-Market,Paid Search
CUST-00276,2024-06-12,UK,Enterprise,Organic
CUST-00277,2026-03-24,US,Consumer,Direct
CUST-00278,2024-12-31,US,Mid-Market,Partner
CUST-00279,2024-11-30,UK,Consumer,Referral
CUST-00280,2024-06-27,US,Mid-Market,Organic
CUST-00281,2025-06-22,UK,Mid-Market,Referral
CUST-00282,2024-11-03,US,Consumer,Partner
CUST-00283,2024-01-10,India,Mid-Market,Direct
CUST-00284,2025-01-05,Germany,SMB,Referral
CUST-00285,2026-03-01,India,Consumer,Direct
CUST-00286,2026-05-11,UAE,SMB,Referral
CUST-00287,2026-05-29,US,Consumer,Paid Search
CUST-00288,2026-01-05,India,SMB,Direct
CUST-00289,2026-05-09,India,Mid-Market,Paid Search
CUST-00290,2025-06-05,Germany,SMB,Paid Search
CUST-00291,2024-06-18,UK,Consumer,Organic
CUST-00292,2024-05-09,UAE,SMB,Organic
CUST-00293,2026-04-03,UK,Mid-Market,Paid Search
CUST-00294,2024-03-06,Germany,Mid-Market,Paid Search
CUST-00295,2024-11-22,UK,Consumer,Referral
CUST-00296,2025-03-30,UK,Enterprise,Referral
CUST-00297,2024-07-20,India,SMB,Paid Search
CUST-00298,2025-05-31,India,SMB,Referral
CUST-00299,2024-06-29,US,Mid-Market,Direct
CUST-00300,2024-12-07,UK,SMB,Partner
CUST-00301,2025-10-14,UAE,Mid-Market,Paid Search
CUST-00302,2025-03-31,UK,Consumer,Organic
CUST-00303,2026-05-31,Germany,Consumer,Organic
CUST-00304,2025-04-09,UAE,Enterprise,Direct
CUST-00305,2025-07-19,US,Consumer,Organic
CUST-00306,2025-03-12,UK,Consumer,Paid Search
CUST-00307,2025-01-29,UAE,Enterprise,Partner
CUST-00308,2025-07-09,India,SMB,Partner
CUST-00309,2026-06-09,India,Enterprise,Paid Search
CUST-00310,2024-12-16,Germany,Consumer,Direct
CUST-00311,2025-05-12,Germany,SMB,Partner
CUST-00312,2024-08-19,US,Consumer,Organic
CUST-00313,2024-02-16,US,SMB,Partner
CUST-00314,2024-10-15,US,SMB,Direct
CUST-00315,2024-03-10,Germany,SMB,Referral
CUST-00316,2024-05-17,UK,Enterprise,Paid Search
CUST-00317,2026-02-03,India,Mid-Market,Paid Search
CUST-00318,2024-08-07,Germany,SMB,Organic
CUST-00319,2025-01-05,UK,SMB,Organic
CUST-00320,2026-06-02,UK,Enterprise,Paid Search
CUST-00321,2025-09-14,UK,Consumer,Partner
CUST-00322,2026-04-10,US,SMB,Paid Search
CUST-00323,2025-06-28,UK,Consumer,Paid Search
CUST-00324,2025-06-15,UK,Mid-Market,Partner
CUST-00325,2025-05-26,India,Enterprise,Paid Search
CUST-00326,2025-05-03,US,Enterprise,Direct
CUST-00327,2025-07-18,India,Consumer,Paid Search
CUST-00328,2025-08-23,US,Consumer,Partner
CUST-00329,2026-02-01,India,Consumer,Referral
CUST-00330,2025-11-05,Germany,Mid-Market,Paid Search
CUST-00331,2024-01-05,UK,Consumer,Direct
CUST-00332,2026-01-30,UK,Consumer,Paid Search
CUST-00333,2026-04-07,UAE,Consumer,Direct
CUST-00334,2026-02-20,UK,SMB,Referral
CUST-00335,2025-05-08,UAE,Mid-Market,Partner
CUST-00336,2025-07-12,India,Consumer,Referral
CUST-00337,2026-06-07,UK,Enterprise,Direct
CUST-00338,2025-06-18,Germany,Enterprise,Referral
CUST-00339,2024-10-29,UK,Consumer,Partner
CUST-00340,2026-01-19,US,SMB,Organic
CUST-00341,2024-10-26,UK,Enterprise,Organic
CUST-00342,2024-09-05,UK,Mid-Market,Organic
CUST-00343,2025-09-29,US,Mid-Market,Partner
CUST-00344,2026-03-08,UK,Mid-Market,Direct
CUST-00345,2026-03-29,India,Enterprise,Organic
CUST-00346,2025-08-09,India,Consumer,Direct
CUST-00347,2025-02-21,Germany,Mid-Market,Paid Search
CUST-00348,2024-04-03,Germany,Consumer,Organic
CUST-00349,2025-01-08,UAE,Enterprise,Direct
CUST-00350,2026-04-30,Germany,Consumer,Paid Search
CUST-00351,2025-07-04,US,Consumer,Organic
CUST-00352,2025-07-30,UAE,Consumer,Partner
CUST-00353,2024-10-04,UK,Enterprise,Direct
CUST-00354,2024-06-19,UAE,SMB,Partner
CUST-00355,2025-09-09,India,Mid-Market,Partner
CUST-00356,2025-07-26,India,SMB,Direct
CUST-00357,2025-01-13,UK,Consumer,Direct
CUST-00358,2024-11-14,UK,Enterprise,Direct
CUST-00359,2024-03-22,US,SMB,Paid Search
CUST-00360,2024-03-04,India,SMB,Organic
CUST-00361,2026-05-28,UK,Mid-Market,Direct
CUST-00362,2024-08-26,India,SMB,Direct
CUST-00363,2025-02-07,Germany,Consumer,Organic
CUST-00364,2026-03-21,India,SMB,Organic
CUST-00365,2026-04-17,US,SMB,Partner
CUST-00366,2026-02-26,UK,Consumer,Partner
CUST-00367,2025-10-26,India,Enterprise,Referral
CUST-00368,2025-08-25,UK,Mid-Market,Referral
CUST-00369,2025-11-10,India,Enterprise,Paid Search
CUST-00370,2025-09-10,UK,Consumer,Referral
CUST-00371,2025-12-06,UK,Consumer,Partner
CUST-00372,2025-02-10,UK,Consumer,Paid Search
CUST-00373,2025-09-26,Germany,SMB,Direct
CUST-00374,2025-12-06,Germany,SMB,Direct
CUST-00375,2025-06-20,UK,Consumer,Direct
CUST-00376,2025-09-27,India,SMB,Partner
CUST-00377,2025-06-05,Germany,Enterprise,Referral
CUST-00378,2026-04-18,UK,Consumer,Referral
CUST-00379,2024-04-03,UK,Consumer,Referral
CUST-00380,2024-03-04,Germany,Consumer,Partner
CUST-00381,2026-03-31,UAE,Consumer,Partner
CUST-00382,2025-04-20,UK,SMB,Paid Search
CUST-00383,2024-03-08,US,Consumer,Paid Search
CUST-00384,2025-10-02,Germany,Consumer,Referral
CUST-00385,2024-06-29,India,Consumer,Partner
CUST-00386,2024-04-04,UAE,Enterprise,Partner
CUST-00387,2025-03-29,UAE,Consumer,Referral
CUST-00388,2024-12-12,Germany,Consumer,Direct
CUST-00389,2024-12-11,UAE,SMB,Referral
CUST-00390,2024-09-05,UK,Enterprise,Direct
CUST-00391,2024-08-17,UAE,Consumer,Paid Search
CUST-00392,2026-02-17,US,Consumer,Organic
CUST-00393,2024-08-17,Germany,Mid-Market,Paid Search
CUST-00394,2025-04-26,UAE,SMB,Direct
CUST-00395,2024-11-10,UK,Consumer,Direct
CUST-00396,2026-05-05,UK,Consumer,Partner
CUST-00397,2025-10-02,UK,Mid-Market,Organic
CUST-00398,2026-02-23,UK,Mid-Market,Direct
CUST-00399,2024-04-17,India,Consumer,Paid Search
CUST-00400,2025-11-22,UK,Mid-Market,Direct
CUST-00401,2025-04-25,India,SMB,Referral
CUST-00402,2025-11-15,US,Enterprise,Partner
CUST-00403,2024-04-08,UAE,Enterprise,Partner
CUST-00404,2024-03-16,India,SMB,Organic
CUST-00405,2024-10-03,US,Consumer,Referral
CUST-00406,2026-02-24,UK,Consumer,Referral
CUST-00407,2024-01-11,UK,Consumer,Paid Search
CUST-00408,2024-08-01,UK,Consumer,Referral
CUST-00409,2026-06-13,UK,Consumer,Paid Search
CUST-00410,2026-02-23,UK,Mid-Market,Direct
CUST-00411,2026-04-17,UAE,SMB,Paid Search
CUST-00412,2024-11-16,Germany,Enterprise,Paid Search
CUST-00413,2025-01-11,India,SMB,Partner
CUST-00414,2024-07-21,Germany,Consumer,Paid Search
CUST-00415,2026-04-24,US,Consumer,Partner
CUST-00416,2026-03-10,UK,Consumer,Direct
CUST-00417,2025-10-10,US,Mid-Market,Paid Search
CUST-00418,2025-08-22,UK,Consumer,Paid Search
CUST-00419,2026-02-07,UK,SMB,Direct
CUST-00420,2025-11-15,UK,SMB,Organic
CUST-00421,2024-05-11,Germany,Mid-Market,Partner
CUST-00422,2024-05-30,UAE,SMB,Organic
CUST-00423,2024-06-05,India,Mid-Market,Partner
CUST-00424,2026-04-18,UAE,Consumer,Referral
CUST-00425,2026-01-10,Germany,Consumer,Organic
CUST-00426,2026-03-31,UK,SMB,Organic
CUST-00427,2025-01-18,UK,SMB,Paid Search
CUST-00428,2024-03-18,UAE,Consumer,Paid Search
CUST-00429,2025-05-03,UK,SMB,Referral
CUST-00430,2026-05-06,US,Consumer,Direct
CUST-00431,2026-01-23,India,Consumer,Partner
CUST-00432,2026-01-30,India,Enterprise,Paid Search
CUST-00433,2025-08-12,UAE,Consumer,Direct
CUST-00434,2026-02-10,UK,Consumer,Direct
CUST-00435,2024-02-05,UK,Mid-Market,Referral
CUST-00436,2024-12-09,UK,Mid-Market,Organic
CUST-00437,2026-04-05,UK,Consumer,Referral
CUST-00438,2025-01-05,India,Mid-Market,Organic
CUST-00439,2025-09-09,UAE,Consumer,Organic
CUST-00440,2026-01-20,India,Consumer,Partner
CUST-00441,2025-12-30,US,SMB,Paid Search
CUST-00442,2025-01-08,UAE,Consumer,Partner
CUST-00443,2025-10-06,UAE,SMB,Paid Search
CUST-00444,2025-12-04,US,Enterprise,Referral
CUST-00445,2024-12-17,Germany,Mid-Market,Organic
CUST-00446,2024-04-16,UAE,Consumer,Direct
CUST-00447,2024-08-22,Germany,Consumer,Partner
CUST-00448,2025-04-05,UK,SMB,Organic
CUST-00449,2024-10-14,US,SMB,Partner
CUST-00450,2025-03-08,UAE,Consumer,Paid Search
CUST-00451,2024-12-10,US,SMB,Direct
CUST-00452,2025-12-02,UK,Enterprise,Partner
CUST-00453,2026-05-18,US,Consumer,Partner
CUST-00454,2025-10-01,Germany,Consumer,Paid Search
CUST-00455,2025-06-08,UK,SMB,Organic
CUST-00456,2025-12-29,UAE,Enterprise,Paid Search
CUST-00457,2024-09-26,India,SMB,Partner
CUST-00458,2025-12-11,India,Consumer,Organic
CUST-00459,2025-08-17,India,Consumer,Referral
CUST-00460,2026-02-25,UAE,SMB,Referral
CUST-00461,2024-02-10,US,Consumer,Partner
CUST-00462,2026-04-16,Germany,SMB,Direct
CUST-00463,2026-03-21,Germany,SMB,Paid Search
CUST-00464,2026-06-20,UK,Mid-Market,Partner
CUST-00465,2024-12-21,US,Consumer,Partner
CUST-00466,2025-09-29,India,SMB,Direct
CUST-00467,2025-10-31,UK,Consumer,Referral
CUST-00468,2025-08-23,UK,SMB,Paid Search
CUST-00469,2024-12-21,UK,Enterprise,Organic
CUST-00470,2025-04-15,US,Consumer,Organic
CUST-00471,2024-02-15,US,Consumer,Direct
CUST-00472,2024-01-13,US,Consumer,Partner
CUST-00473,2024-01-12,UAE,Consumer,Paid Search
CUST-00474,2026-06-25,India,Enterprise,Direct
CUST-00475,2025-02-03,UK,Consumer,Partner
CUST-00476,2025-07-13,UK,SMB,Organic
CUST-00477,2024-08-04,India,SMB,Direct
CUST-00478,2024-06-07,India,Mid-Market,Partner
CUST-00479,2025-01-17,US,Consumer,Paid Search
CUST-00480,2025-09-09,Germany,Consumer,Paid Search
CUST-00481,2025-12-08,UK,Enterprise,Direct
CUST-00482,2026-02-13,US,Consumer,Referral
CUST-00483,2026-03-27,UAE,Mid-Market,Paid Search
CUST-00484,2025-04-01,UK,Enterprise,Organic
CUST-00485,2026-03-05,UK,SMB,Partner
CUST-00486,2025-03-24,India,Mid-Market,Direct
CUST-00487,2024-02-08,UK,Consumer,Organic
CUST-00488,2026-01-08,India,Consumer,Paid Search
CUST-00489,2025-12-09,US,Consumer,Organic
CUST-00490,2025-12-21,US,Consumer,Referral
CUST-00491,2026-03-28,UK,SMB,Paid Search
CUST-00492,2025-06-30,India,Consumer,Referral
CUST-00493,2026-02-27,UAE,Consumer,Partner
CUST-00494,2025-12-26,India,SMB,Paid Search
CUST-00495,2024-03-05,UAE,Consumer,Referral
CUST-00496,2024-04-26,UK,Enterprise,Paid Search
CUST-00497,2025-03-20,US,SMB,Organic
CUST-00498,2024-05-20,US,Consumer,Partner
CUST-00499,2025-10-09,India,Enterprise,Paid Search
CUST-00500,2024-05-29,US,Consumer,Paid Search
CUST-00501,2026-04-15,UK,SMB,Organic
CUST-00502,2024-07-09,UK,Enterprise,Direct
CUST-00503,2025-11-13,UK,Consumer,Referral
CUST-00504,2025-05-24,US,Consumer,Paid Search
CUST-00505,2026-03-31,India,SMB,Paid Search
CUST-00506,2024-01-13,India,Mid-Market,Referral
CUST-00507,2025-02-05,UK,Mid-Market,Referral
CUST-00508,2025-02-25,UK,Consumer,Paid Search
CUST-00509,2025-05-31,UK,Mid-Market,Partner
CUST-00510,2026-02-01,India,Enterprise,Organic
CUST-00511,2025-05-18,US,SMB,Referral
CUST-00512,2024-08-19,UAE,Mid-Market,Direct
CUST-00513,2024-09-22,US,Mid-Market,Paid Search
CUST-00514,2024-12-30,UK,Consumer,Paid Search
CUST-00515,2025-12-23,US,Mid-Market,Paid Search
CUST-00516,2026-06-25,UK,Mid-Market,Partner
CUST-00517,2025-11-24,Germany,Mid-Market,Partner
CUST-00518,2026-06-18,UK,Consumer,Organic
CUST-00519,2024-10-03,UK,Mid-Market,Organic
CUST-00520,2024-01-08,Germany,SMB,Paid Search
CUST-00521,2024-02-02,India,SMB,Referral
CUST-00522,2024-12-29,UK,Consumer,Direct
CUST-00523,2024-08-17,UK,Mid-Market,Paid Search
CUST-00524,2025-05-15,Germany,Enterprise,Referral
